                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 2.3069,                 1.1038,                 0.8477,                0.65846,                0.51485,                0.54304,                0.21014,                 2.2857,                 1.1346,                0.80456,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.1393,                 1.0621,                0.83352,                0.77106,                0.50495,                0.56797,                0.21953,                 2.2008,                 1.0875,                0.80429,              0.0005744,              0.0005744,              0.0005744
                     74,                 2.2302,                 1.0117,                0.83932,                 0.7084,                0.46535,                0.54137,                0.19611,                 2.3913,                 1.1294,                0.81153,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.2277,                 1.0803,                0.83383,                0.78874,                 0.4436,                  0.544,                0.21328,                 2.3345,                 1.2696,                0.81313,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.2161,                 1.0552,                0.85565,                0.73964,                0.50629,                0.62378,                0.22596,                 2.2519,                 1.1126,                0.80367,               0.000515,               0.000515,               0.000515
                     77,                 2.2243,                 1.1047,                0.83743,                0.75711,                0.52475,                0.59591,                0.21611,                 2.3748,                 1.1694,                 0.8058,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.2355,                 1.1023,                0.85577,                0.79093,                0.52439,                0.57956,                0.23049,                 2.2572,                 1.0891,                 0.7986,              0.0004754,              0.0004754,              0.0004754
                     79,                  2.175,                 1.0621,                0.84483,                0.67541,                0.48515,                0.58198,                0.22528,                   2.21,                 1.2039,                0.80309,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.2289,                 1.1108,                0.85485,                0.55874,                0.47525,                 0.5218,                0.19394,                 2.2634,                 1.2465,                0.80146,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.1772,                  1.142,                0.83237,                0.75963,                0.50495,                 0.5551,                0.21307,                 2.1298,                 1.0758,                0.79485,               0.000416,               0.000416,               0.000416
                     82,                 2.0919,                0.99792,                0.83116,                0.77166,                0.56886,                0.60613,                0.25331,                 2.0781,                0.94533,                0.79067,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.0905,                0.97621,                0.84651,                0.75499,                0.56436,                0.61388,                0.24496,                 2.0755,                 1.0594,                0.79143,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1729,                 1.0629,                0.83237,                0.73394,                0.46432,                0.54412,                0.20272,                 2.2122,                 1.2376,                0.79905,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.0852,                0.99892,                0.84073,                 0.6749,                0.50495,                0.55566,                0.21199,                 2.1098,                  1.188,                0.79534,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1926,                 1.0402,                0.83684,                0.66456,                0.52965,                0.53428,                0.21217,                 2.2711,                 1.1607,                0.80564,               0.000317,               0.000317,               0.000317
                     87,                 2.0676,                0.88573,                0.85108,                0.69841,                0.50443,                0.57731,                0.23971,                 2.0415,                 1.1491,                0.79416,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.0631,                0.95028,                 0.8437,                0.76134,                0.50537,                0.60737,                0.24339,                 2.0593,                 1.0977,                0.79197,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.0937,                0.95026,                 0.8339,                0.74284,                0.48621,                0.58585,                0.23512,                 2.0451,                 1.0889,                0.79263,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.0274,                0.92788,                0.82422,                0.76695,                0.53465,                0.60286,                0.25246,                 2.0437,                 1.0694,                0.79068,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9642,                 1.0022,                0.85078,                0.73321,                0.48982,                0.54618,                0.21841,                 2.2792,                 1.1488,                 0.7884,               0.000218,               0.000218,               0.000218
                     92,                 1.9814,                0.93217,                0.84686,                0.76526,                0.47525,                0.56011,                0.21801,                 2.2448,                 1.1188,                0.78906,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.9529,                0.88967,                0.84446,                0.75184,                0.54455,                0.57819,                0.24034,                 2.0624,                 1.0816,                0.78369,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.0138,                0.92677,                0.85156,                0.73588,                0.50495,                0.55525,                0.23402,                 2.0255,                 1.1316,                0.78725,              0.0001586,              0.0001586,              0.0001586
                     95,                  2.052,                0.94742,                0.86513,                0.76142,                0.53465,                0.59318,                0.25008,                 1.9983,                 1.1024,                0.78664,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.9937,                0.90107,                0.83483,                0.71385,                0.46934,                 0.5319,                0.23849,                 2.0944,                 1.1647,                0.78713,               0.000119,               0.000119,               0.000119
                     97,                 1.9396,                0.88057,                0.83543,                0.73493,                0.48515,                0.57994,                0.24094,                 2.1743,                  1.233,                0.78806,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9461,                0.92784,                0.82794,                0.72858,                0.50497,                0.58618,                  0.244,                 2.1229,                 1.2019,                0.78812,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8929,                0.82987,                0.83066,                0.74648,                0.49505,                0.58396,                0.24923,                 2.0971,                 1.1892,                0.78664,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  1.933,                0.88627,                0.84558,                0.75446,                0.49505,                0.57422,                0.24088,                 2.1242,                 1.1936,                 0.7875,               3.98e-05,               3.98e-05,               3.98e-05
